Ray generation,MARF query,Surface reconstruction
100,200,300,400,500,600,700,800,900,1000
0.015029045000119368,0.007545177000793046,0.43049382099889044
0.06026666599973396,0.019888187000105972,0.5978759690005973
0.13554111000121338,0.032432615998914116,0.9229372440004227
0.2288513529983902,0.03967537700009416,1.233339636000892
0.3593454809997638,0.2966840860008233,1.2690435339991382
0.5215647559998615,0.2521729689997301,2.0496594209998875
0.6962080339999375,0.25951039400024456,2.5799021359998733
0.9374606940000376,0.3441674250007054,2.593611885999053
1.1552717899994605,0.47163208600068174,2.8511184620001586
1.4234475180001027,0.4054894229993806,3.1042322339999373
